CCDM,Qual,Ncomp,comp_id,HIP,Hp,theta,rho,recno
00210+4737,C,2,B,1676,12.223,161.0,0.2,356
00210+6740,A,2,A,1674,8.624,,,357
00210+6740,A,2,B,1674,9.0,87.5,1.634,358
00212-4743,B,2,A,1693,9.747,,,359
00212-4743,B,2,B,1693,12.241,296.0,0.34,360
00213+2541,B,2,A,1695,9.195,,,361
00213+2541,B,2,B,1695,12.27,96.0,0.69,362
00214+2744,A,2,A,1699,8.719,,,363
00214+2744,A,2,P,1699,10.224,56.0,0.41,364
00214+6700,A,3,A,1700,7.622,,,365
00214+6700,A,3,B,1700,8.604,155.0,0.58,366
00214+6700,A,3,C,1700,10.513,114.7,13.62,367
00215+2658,B,2,A,1709,8.182,,,368
00215+2658,B,2,B,1709,11.708,181.1,11.12,369
00215-4900,A,2,A,1705,9.472,,,370
00215-4900,A,2,B,1705,11.065,95.0,1.04,371
00217-4711,D,2,A,1723,9.888,,,372
00217-4711,D,2,B,1723,13.244,106.0,3.82,373
00219-2300,A,2,A,1732,7.735,,,374
00219-2300,A,2,B,1732,9.432,25.6,6.1,375
00220+2711,A,2,A,1740,8.82,,,376
00220+2711,A,2,B,1740,11.737,241.8,8.2,377
00221+6211,A,2,A,1743,8.511,,,378
00221+6211,A,2,B,1743,10.676,241.0,0.32,379
00221-6317,A,2,A,1747,9.935,,,380
00221-6317,A,2,B,1747,10.676,181.9,0.677,381
00222-4353,A,2,A,1753,9.335,,,382
00222-4353,A,2,B,1753,11.17,357.62,16.37,383
00226-0639,A,2,A,1778,10.107,,,384
00226-0639,A,2,B,1778,12.035,163.0,0.26,385
00229+6215,A,2,A,1805,8.171,,,386
00229+6215,A,2,B,1805,11.129,84.0,9.54,387
00233+0556,A,2,A,1847,10.58,,,388
00233+0556,A,2,B,1847,11.029,344.0,0.6,389
00233+6113,C,2,A,1846,11.381,,,390
00233+6113,C,2,B,1846,13.208,355.0,2.44,391
00233-7643,A,2,A,1838,8.828,,,392
00233-7643,A,2,B,1838,8.874,337.1,0.564,393
00237+5201,B,2,A,1872,10.77,,,394
00237+5201,B,2,B,1872,13.234,270.0,2.94,395
00237-6226,C,2,A,1877,7.78,,,396
00237-6226,C,2,B,1877,11.61,261.0,0.65,397
00240+4912,B,2,A,1896,8.762,,,398
00240+4912,B,2,B,1896,10.829,254.0,0.17,399
00240-0329,A,2,A,1900,7.448,,,400
00240-0329,A,2,B,1900,10.881,341.0,3.34,401
00243+5201,A,2,A,1921,5.948,,,402
00243+5201,A,2,B,1921,6.835,54.0,0.157,403
00251+4803,A,2,A,1987,7.721,,,404
00251+4803,A,2,B,1987,10.629,242.0,0.28,405
00253+3230,A,2,A,1997,9.533,,,406
00253+3230,A,2,B,1997,9.786,167.3,5.23,407
00254+2036,A,2,A,2002,9.061,,,408
00254+2036,A,2,B,2002,11.236,228.1,2.8,409
00256+3629,A,2,A,2018,8.471,,,410
00256+3629,A,2,B,2018,10.644,76.0,1.01,411
00257-5050,A,2,A,2028,8.46,,,412
00257-5050,A,2,B,2029,9.747,171.81,16.58,413
00258+1025,A,2,A,2035,9.711,,,414
00258+1025,A,2,B,2035,10.708,157.0,0.15,415
00258+3852,D,2,A,2033,8.769,,,416
00258+3852,D,2,B,2033,11.778,153.6,6.14,417
00259-3112,A,2,A,2041,10.564,,,418
00259-3112,A,2,B,2041,11.073,357.0,0.16,419
00260+1905,A,2,A,2048,8.986,,,420
00260+1905,A,2,B,2048,11.711,254.0,0.8,421
00261+2359,A,2,A,2060,9.224,,,422
00261+2359,A,2,B,2060,11.804,334.0,1.11,423
00261+4410,C,2,A,2059,8.626,,,424
00261+4410,C,2,B,2059,12.299,143.0,4.53,425
00262+5647,A,2,A,2074,6.914,,,426
00262+5647,A,2,B,2074,9.609,51.9,1.95,427
00264+6246,A,2,A,2090,9.818,,,428
00264+6246,A,2,B,2090,11.869,45.0,0.33,429
00266+5227,B,2,A,2097,8.808,,,430
00266+5227,B,2,B,2097,12.206,127.3,5.26,431
00266-0003,A,2,A,2100,6.466,,,432
00266-0003,A,2,B,2100,8.915,267.0,0.38,433
00269-0531,B,2,A,2117,9.473,,,434
00269-0531,B,2,B,2119,10.468,27.69,25.13,435
00269-8308,A,2,A,2115,8.606,,,436
00269-8308,A,2,B,2115,9.276,23.0,1.25,437
00271-0753,A,2,A,2143,8.946,,,438
00271-0753,A,2,B,2143,9.037,218.0,0.4,439
00272+2115,A,2,A,2147,8.183,,,440
00272+2115,A,2,B,2147,10.91,190.0,1.39,441
00272+4959,A,2,A,2151,6.955,,,442
00272+4959,A,2,B,2149,9.221,311.08,14.26,443
00274+3054,A,2,A,2170,8.548,,,444
00274+3054,A,2,B,2170,10.456,67.0,0.29,445
00276-4514,C,2,A,2187,10.057,,,446
00276-4514,C,2,B,2187,12.961,200.2,10.9,447
00279+2334,A,2,A,2206,8.968,,,448
00279+2334,A,2,B,2206,9.74,248.0,0.674,449
00279-2451,A,2,A,2207,8.786,,,450
00279-2451,A,2,B,2207,10.442,82.2,1.42,451
00282-5437,A,2,A,2226,8.884,,,452
00282-5437,A,2,B,2226,9.581,257.5,0.527,453
00283+6344,A,2,A,2232,10.06,,,454
00283+6344,A,2,B,2232,10.494,74.0,0.522,455
00283-4552,B,2,A,2236,8.828,,,456
00283-4552,B,2,B,2236,10.862,143.6,4.93,457
00283-6555,A,2,A,2228,8.482,,,458
00283-6555,A,2,B,2228,10.176,242.6,1.6,459
00284-2020,A,2,A,2237,7.231,,,460
00284-2020,A,2,B,2237,7.398,120.0,0.187,461
00287+3718,A,2,B,2252,8.886,,,462
00287+3718,A,2,A,2252,8.992,218.0,0.553,463
00290+4825,B,2,A,2271,7.669,,,464
00290+4825,B,2,B,2271,7.866,35.0,0.15,465
00291-2701,A,2,A,2278,8.349,,,466
00291-2701,A,2,B,2278,10.186,49.0,0.48,467
00292-1750,A,2,A,2287,10.559,,,468
00292-1750,A,2,B,2287,11.066,194.5,1.89,469
00292-3755,A,2,A,2286,10.375,,,470
00292-3755,A,2,B,2286,10.693,160.0,0.23,471
00295+1501,A,2,A,2309,9.956,,,472
00295+1501,A,2,B,2309,11.132,56.6,0.7,473
00297+2018,A,2,B,2327,10.664,,,474
00297+2018,A,2,A,2327,11.117,352.0,1.52,475
00297+5855,A,2,A,2328,9.825,,,476
00297+5855,A,2,B,2328,10.394,40.4,1.005,477
00300-2715,A,2,A,2346,9.747,,,478
00300-2715,A,2,B,2346,11.198,252.5,1.63,479
00302-1221,A,2,B,2362,10.248,,,480
00302-1221,A,2,A,2362,10.721,248.0,0.25,481
00303+5959,A,2,A,2377,6.066,,,482
00303+5959,A,2,B,2377,8.447,275.0,0.33,483
00307+1339,D,2,A,2411,9.813,,,484
00307+1339,D,2,B,2411,12.755,263.0,0.96,485
00308+4732,A,2,A,2414,8.491,,,486
00308+4732,A,2,B,2414,8.772,283.0,0.11,487
00309-3845,A,2,A,2424,10.643,,,488
00309-3845,A,2,B,2424,11.17,234.0,0.633,489
00310+3406,A,2,A,2429,8.907,,,490
00310+3406,A,2,B,2429,8.936,211.6,2.763,491
00310+5015,A,2,A,2437,7.655,,,492
00310+5015,A,2,B,2437,9.872,10.0,0.42,493
00310+6126,C,2,A,2430,8.887,,,494
00310+6126,C,2,B,2430,9.947,277.0,0.16,495
00310-1005,A,2,C,2444,9.093,,,496
00310-1005,A,2,B,2444,9.691,83.0,0.22,497
00310-3138,A,2,A,2433,10.452,,,498
00310-3138,A,2,B,2433,10.453,106.0,0.16,499
00310-3238,D,2,A,2438,10.36,,,500
00310-3238,D,2,B,2438,13.543,359.3,11.26,501
00312-6418,A,2,A,2449,10.468,,,502
00312-6418,A,2,B,2449,10.953,275.3,3.58,503
00313+6320,A,2,A,2460,10.958,,,504
00313+6320,A,2,B,2460,11.776,353.9,5.83,505
00315-1116,A,2,A,2483,8.384,,,506
00315-1116,A,2,B,2483,10.955,120.3,5.77,507
00316+5809,A,2,A,2493,9.077,,,508
00316+5809,A,2,B,2493,10.208,176.0,0.353,509
00317+1929,A,2,A,2502,7.838,,,510
00317+1929,A,2,B,2502,9.374,60.0,0.2,511
00318+3658,A,2,A,2509,8.328,,,512
00318+3658,A,2,B,2509,11.387,131.5,6.64,513
00318+5431,A,2,A,2505,5.439,,,514
00318+5431,A,2,B,2505,5.483,190.1,0.446,515
00321+5000,A,2,A,2528,9.518,,,516
00321+5000,A,2,B,2528,10.555,78.0,0.17,517
00321-0511,D,2,A,2533,8.78,,,518
00321-0511,D,2,C,2533,11.4,190.0,2.61,519
00321-1218,A,2,A,2532,8.966,,,520
00321-1218,A,2,B,2532,9.459,23.0,0.15,521
00321-3614,A,2,A,2530,11.105,,,522
00321-3614,A,2,B,2530,11.722,274.0,0.34,523
00324+0657,D,2,A,2548,5.839,,,524
00324+0657,D,2,C,2548,7.985,266.0,0.13,525
00324+2147,A,2,A,2549,9.191,,,526
00324+2147,A,2,B,2549,9.912,22.0,0.16,527
00324+5820,A,2,A,2543,7.24,,,528
00324+5820,A,2,B,2543,10.643,196.6,2.83,529
00325+6714,A,2,A,2552,10.564,,,530
00325+6714,A,2,B,2552,12.197,163.4,4.15,531
00325-6800,A,2,A,2556,9.641,,,532
00325-6800,A,2,B,2556,11.805,327.0,0.64,533
00327+3851,A,2,A,2576,7.734,,,534
00327+3851,A,2,B,2576,7.738,109.0,0.162,535
00327+7807,A,2,A,2575,9.687,,,536
00327+7807,A,2,B,2575,9.863,338.3,5.839,537
00329+3551,B,2,A,2587,7.985,,,538
00329+3551,B,2,B,2587,11.697,20.0,1.61,539
00334+4739,A,2,A,2635,9.06,,,540
